speed,acceleration,steering_angle,distance_ahead,lane_position,traffic_density,traffic_light,obstacle_detected,road_condition,weather,road_curvature,action
7.92,-1.36,-18.61,41.51,CENTER,LOW,NONE,NO,DRY,RAIN,STRAIGHT,ACCELERATE
104.38,-0.91,14.03,198.75,LEFT,MEDIUM,GREEN,NO,WET,FOG,STRAIGHT,MAINTAIN_SPEED
107.52,-2.57,3.02,92.48,LEFT,HIGH,NONE,YES,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
128.24,0.42,-1.26,148.33,CENTER,LOW,YELLOW,NO,DRY,RAIN,STRAIGHT,BRAKE
119.57,-0.84,-13.69,77.59,CENTER,LOW,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
139.79,-1.22,-2.82,62.23,CENTER,HIGH,GREEN,NO,WET,FOG,STRAIGHT,CHANGE_LANE_LEFT
82.57,-2.87,-22.3,67.52,CENTER,LOW,YELLOW,YES,DRY,RAIN,STRAIGHT,BRAKE
76.84,-2.58,1.24,64.48,LEFT,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,STOP
36.49,1.99,13.84,62.51,LEFT,MEDIUM,RED,NO,DRY,CLEAR,RIGHT,BRAKE
30.21,2.35,-10.76,78.4,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
102.26,-4.43,-21.43,134.78,LEFT,HIGH,GREEN,NO,DRY,RAIN,RIGHT,TURN_RIGHT
76.59,-4.63,-9.84,127.57,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,RIGHT,TURN_RIGHT
25.28,2.01,17.68,105.63,RIGHT,LOW,GREEN,NO,SLIPPERY,CLEAR,STRAIGHT,MAINTAIN_SPEED
68.42,0.67,2.74,63.9,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,MAINTAIN_SPEED
90.92,0.64,0.24,75.09,CENTER,HIGH,YELLOW,NO,DRY,FOG,LEFT,MAINTAIN_SPEED
105.48,2.73,20.62,31.56,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
58.76,0.91,16.54,64.71,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
144.39,2.36,-11.72,139.16,CENTER,MEDIUM,NONE,NO,WET,CLEAR,LEFT,TURN_LEFT
136.51,-0.93,10.11,20.86,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
126.01,1.82,-7.57,161.83,CENTER,MEDIUM,GREEN,YES,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
17.83,-0.41,16.89,175.61,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
47.49,-0.21,34.14,91.59,RIGHT,MEDIUM,GREEN,YES,DRY,CLEAR,RIGHT,TURN_RIGHT
136.51,-4.09,8.53,179.1,RIGHT,MEDIUM,GREEN,YES,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
29.28,5.09,-5.63,101.72,CENTER,HIGH,NONE,NO,DRY,RAIN,RIGHT,CHANGE_LANE_LEFT
71.85,0.75,0.54,78.93,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
140.48,-1.42,-11.89,92.29,CENTER,MEDIUM,RED,NO,DRY,FOG,LEFT,STOP
84.37,-1.95,-10.61,151.58,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
88.18,-1.91,14.31,117.3,CENTER,HIGH,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
51.39,-4.03,-5.13,13.52,CENTER,HIGH,RED,NO,DRY,RAIN,LEFT,BRAKE
125.01,2.13,-0.43,47.0,CENTER,HIGH,YELLOW,NO,DRY,RAIN,STRAIGHT,BRAKE
143.74,1.66,13.63,46.89,RIGHT,HIGH,GREEN,YES,DRY,CLEAR,RIGHT,TURN_RIGHT
141.55,-3.78,4.5,120.72,CENTER,HIGH,GREEN,NO,DRY,CLEAR,RIGHT,CHANGE_LANE_RIGHT
33.22,-3.16,-0.15,112.45,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
106.67,1.34,-12.69,9.76,RIGHT,HIGH,NONE,NO,DRY,RAIN,STRAIGHT,BRAKE
143.3,1.15,-2.33,76.8,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
55.56,-0.27,23.98,146.76,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
45.72,5.26,-9.55,111.28,RIGHT,MEDIUM,NONE,NO,DRY,FOG,RIGHT,TURN_RIGHT
7.08,1.55,8.84,190.27,RIGHT,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,BRAKE
30.87,0.07,1.11,88.51,CENTER,HIGH,GREEN,NO,WET,CLEAR,LEFT,CHANGE_LANE_RIGHT
85.03,1.68,2.47,55.61,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
49.93,-0.24,17.93,100.41,LEFT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
39.08,1.69,-3.48,20.3,CENTER,HIGH,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
104.58,2.74,-8.13,100.18,CENTER,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,STOP
42.23,-0.82,-9.77,128.9,RIGHT,LOW,GREEN,NO,DRY,RAIN,RIGHT,TURN_RIGHT
85.48,6.7,40.31,120.26,RIGHT,LOW,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
125.61,2.11,-6.33,130.37,RIGHT,LOW,GREEN,NO,DRY,CLEAR,LEFT,MAINTAIN_SPEED
127.74,4.81,-8.16,100.66,CENTER,HIGH,GREEN,YES,DRY,CLEAR,LEFT,TURN_LEFT
116.63,4.57,-1.4,123.99,CENTER,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
125.69,-2.53,12.14,184.35,LEFT,LOW,GREEN,NO,WET,CLEAR,LEFT,TURN_LEFT
134.2,0.99,1.33,39.66,CENTER,HIGH,GREEN,NO,SLIPPERY,RAIN,LEFT,BRAKE
17.08,0.16,-14.92,11.7,CENTER,HIGH,GREEN,YES,DRY,CLEAR,STRAIGHT,BRAKE
99.31,3.35,2.66,86.65,CENTER,HIGH,NONE,NO,SLIPPERY,CLEAR,STRAIGHT,BRAKE
54.01,2.18,12.11,159.54,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
10.04,3.28,16.22,67.11,CENTER,MEDIUM,GREEN,YES,DRY,RAIN,STRAIGHT,ACCELERATE
2.27,1.36,12.84,2.49,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
93.1,0.9,18.34,126.94,CENTER,HIGH,GREEN,NO,SLIPPERY,CLEAR,LEFT,BRAKE
26.12,-0.32,20.18,91.23,LEFT,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
55.85,-0.27,-4.33,120.5,RIGHT,MEDIUM,NONE,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
98.54,0.02,-3.12,186.36,CENTER,LOW,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
72.4,-1.42,-9.1,123.96,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
95.39,-4.43,-5.38,193.3,LEFT,LOW,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
124.39,3.23,-5.02,120.85,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,MAINTAIN_SPEED
129.37,0.45,-0.09,115.47,LEFT,HIGH,GREEN,YES,SLIPPERY,CLEAR,STRAIGHT,BRAKE
22.53,2.4,10.81,53.32,CENTER,HIGH,NONE,NO,SLIPPERY,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
18.37,1.91,-14.66,58.17,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
96.2,-1.74,-6.43,68.13,LEFT,MEDIUM,GREEN,NO,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
19.84,-1.29,-13.49,26.93,CENTER,HIGH,GREEN,NO,WET,CLEAR,LEFT,TURN_LEFT
104.57,-2.25,0.3,20.6,CENTER,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,BRAKE
84.96,-0.83,-12.23,44.57,CENTER,LOW,RED,NO,DRY,CLEAR,LEFT,STOP
131.64,-0.75,1.73,31.13,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
50.52,3.27,-7.27,125.08,CENTER,HIGH,NONE,YES,DRY,RAIN,STRAIGHT,CHANGE_LANE_LEFT
40.04,-1.3,19.04,133.89,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
140.41,1.43,4.04,30.04,LEFT,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,BRAKE
101.21,3.81,4.11,101.17,CENTER,LOW,GREEN,NO,DRY,RAIN,LEFT,MAINTAIN_SPEED
133.81,-0.85,2.08,199.83,CENTER,MEDIUM,NONE,YES,SLIPPERY,CLEAR,RIGHT,BRAKE
100.72,-0.27,10.91,126.3,RIGHT,HIGH,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
6.36,3.08,-13.61,64.21,CENTER,LOW,GREEN,NO,DRY,FOG,RIGHT,TURN_RIGHT
23.03,-2.81,-13.89,117.41,CENTER,HIGH,GREEN,NO,SLIPPERY,FOG,LEFT,TURN_LEFT
146.59,2.46,0.46,14.84,CENTER,MEDIUM,RED,YES,DRY,CLEAR,STRAIGHT,STOP
121.91,-3.68,8.79,8.24,RIGHT,LOW,GREEN,NO,SLIPPERY,FOG,LEFT,BRAKE
79.15,-0.82,-1.6,55.3,RIGHT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
11.22,2.71,-5.67,155.93,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,ACCELERATE
67.63,-1.23,19.95,155.28,RIGHT,LOW,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
130.42,-2.0,-14.59,177.8,RIGHT,LOW,GREEN,NO,SLIPPERY,CLEAR,STRAIGHT,BRAKE
43.28,2.73,-7.23,73.17,CENTER,MEDIUM,RED,NO,DRY,FOG,LEFT,BRAKE
27.95,0.34,3.62,143.08,CENTER,LOW,RED,NO,WET,CLEAR,LEFT,BRAKE
83.64,-2.97,-0.76,129.2,CENTER,MEDIUM,GREEN,YES,SLIPPERY,CLEAR,RIGHT,BRAKE
97.68,-2.24,25.22,88.37,CENTER,LOW,RED,NO,DRY,CLEAR,STRAIGHT,STOP
70.96,0.87,-2.55,5.05,CENTER,LOW,NONE,YES,DRY,CLEAR,STRAIGHT,STOP
69.1,2.05,11.32,116.19,CENTER,LOW,GREEN,NO,WET,FOG,LEFT,TURN_LEFT
138.07,-5.12,-8.0,153.6,RIGHT,HIGH,RED,NO,DRY,RAIN,LEFT,STOP
124.92,-2.77,4.11,194.34,CENTER,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,STOP
103.47,1.9,28.34,183.56,LEFT,MEDIUM,RED,NO,WET,CLEAR,STRAIGHT,STOP
33.82,-3.81,27.45,34.41,CENTER,MEDIUM,RED,NO,DRY,RAIN,STRAIGHT,BRAKE
111.2,-1.85,3.7,149.76,CENTER,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
122.71,1.49,-13.85,191.55,RIGHT,LOW,GREEN,NO,WET,FOG,LEFT,TURN_LEFT
133.06,1.19,8.98,76.77,CENTER,MEDIUM,YELLOW,NO,WET,CLEAR,STRAIGHT,BRAKE
47.94,0.36,-7.5,92.29,CENTER,HIGH,RED,NO,DRY,RAIN,STRAIGHT,BRAKE
93.34,-3.53,-9.65,24.21,CENTER,HIGH,NONE,NO,DRY,RAIN,LEFT,TURN_LEFT
126.58,0.26,1.74,97.68,LEFT,HIGH,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
109.83,-0.3,1.75,116.22,LEFT,HIGH,YELLOW,NO,DRY,CLEAR,STRAIGHT,BRAKE
141.38,0.62,-21.05,10.82,CENTER,MEDIUM,NONE,NO,WET,RAIN,STRAIGHT,BRAKE
134.06,0.86,15.84,174.87,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
62.21,-2.32,10.63,9.51,LEFT,LOW,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
41.43,-2.41,-20.4,123.7,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
19.08,-1.11,-0.81,109.39,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,LEFT,MAINTAIN_SPEED
73.43,-2.57,-2.1,4.07,CENTER,LOW,RED,NO,DRY,CLEAR,RIGHT,STOP
68.63,5.81,15.83,35.96,RIGHT,MEDIUM,NONE,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
60.4,1.2,-18.33,70.91,CENTER,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,STOP
60.43,-1.42,24.32,155.66,CENTER,HIGH,GREEN,NO,WET,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
100.79,-2.23,11.5,92.62,CENTER,LOW,YELLOW,NO,DRY,RAIN,STRAIGHT,BRAKE
8.75,-0.9,8.42,114.05,RIGHT,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
64.49,0.3,-17.7,92.47,CENTER,MEDIUM,GREEN,YES,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
20.01,1.9,-8.61,108.28,CENTER,HIGH,GREEN,NO,SLIPPERY,RAIN,LEFT,TURN_LEFT
126.2,-3.63,17.56,114.06,RIGHT,MEDIUM,RED,NO,SLIPPERY,CLEAR,RIGHT,STOP
129.19,-4.76,-20.61,169.91,RIGHT,LOW,YELLOW,NO,WET,RAIN,STRAIGHT,BRAKE
45.56,1.65,18.57,22.36,CENTER,HIGH,GREEN,YES,DRY,FOG,STRAIGHT,BRAKE
22.96,1.28,-10.6,157.67,CENTER,HIGH,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
113.46,-1.09,-12.31,142.1,CENTER,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
126.91,-0.18,-21.82,13.01,CENTER,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
14.04,-1.17,-2.68,196.03,RIGHT,HIGH,GREEN,NO,WET,RAIN,LEFT,ACCELERATE
131.94,2.61,10.25,195.27,CENTER,LOW,GREEN,NO,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
3.09,0.39,-7.26,125.73,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
48.78,0.53,11.23,166.08,LEFT,HIGH,YELLOW,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
86.04,6.01,21.48,122.26,RIGHT,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
69.1,4.49,7.17,170.25,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
66.23,-1.11,1.51,114.63,LEFT,HIGH,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
117.92,-1.94,6.33,101.15,CENTER,MEDIUM,RED,NO,WET,CLEAR,STRAIGHT,STOP
6.94,1.29,-7.96,23.08,RIGHT,HIGH,GREEN,NO,DRY,FOG,RIGHT,MAINTAIN_SPEED
89.93,-0.58,6.16,72.04,CENTER,LOW,RED,NO,WET,CLEAR,STRAIGHT,STOP
29.12,1.06,-18.87,134.23,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
84.36,-3.8,12.45,160.86,CENTER,MEDIUM,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
10.5,-1.82,-7.75,61.95,CENTER,HIGH,NONE,YES,DRY,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
93.68,-1.47,18.09,134.26,CENTER,HIGH,GREEN,NO,WET,CLEAR,LEFT,TURN_LEFT
41.16,-1.57,-3.47,155.15,LEFT,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
47.0,0.81,-2.05,131.69,RIGHT,LOW,GREEN,YES,SLIPPERY,CLEAR,LEFT,MAINTAIN_SPEED
42.65,-4.77,10.78,19.88,RIGHT,HIGH,NONE,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
23.05,2.05,11.02,142.85,LEFT,LOW,YELLOW,NO,SLIPPERY,CLEAR,STRAIGHT,MAINTAIN_SPEED
2.84,-3.67,18.84,7.35,LEFT,LOW,GREEN,YES,DRY,CLEAR,RIGHT,STOP
119.14,4.37,-18.05,162.09,LEFT,HIGH,GREEN,NO,DRY,FOG,STRAIGHT,MAINTAIN_SPEED
60.79,-3.28,17.26,145.56,CENTER,HIGH,YELLOW,YES,DRY,CLEAR,RIGHT,BRAKE
30.13,-1.24,23.18,46.01,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
110.47,-2.57,-8.52,147.27,LEFT,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,STOP
47.25,-0.89,-7.09,116.32,CENTER,HIGH,GREEN,YES,DRY,CLEAR,STRAIGHT,CHANGE_LANE_LEFT
30.74,-0.32,-17.06,43.42,RIGHT,MEDIUM,YELLOW,NO,SLIPPERY,CLEAR,STRAIGHT,MAINTAIN_SPEED
42.02,0.73,-10.17,179.05,CENTER,LOW,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
71.61,-1.73,-1.48,137.2,RIGHT,HIGH,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
49.06,2.32,12.5,190.75,LEFT,MEDIUM,NONE,NO,DRY,RAIN,RIGHT,TURN_RIGHT
87.03,-2.57,14.39,123.85,LEFT,MEDIUM,YELLOW,NO,DRY,CLEAR,RIGHT,BRAKE
39.79,1.29,-2.81,59.94,CENTER,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
21.92,2.99,-15.42,159.65,CENTER,LOW,RED,NO,WET,CLEAR,STRAIGHT,BRAKE
30.01,-1.42,2.51,102.75,CENTER,HIGH,GREEN,YES,WET,RAIN,LEFT,CHANGE_LANE_RIGHT
120.49,-2.61,1.3,71.28,CENTER,HIGH,GREEN,NO,SLIPPERY,CLEAR,STRAIGHT,BRAKE
51.63,-0.41,-17.61,184.88,CENTER,LOW,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
51.91,-5.49,11.35,135.41,CENTER,HIGH,RED,NO,DRY,RAIN,STRAIGHT,BRAKE
27.03,-3.0,2.65,131.79,RIGHT,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
32.13,-4.0,-0.19,21.92,RIGHT,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
62.08,2.5,5.59,144.16,CENTER,MEDIUM,YELLOW,NO,SLIPPERY,CLEAR,RIGHT,BRAKE
119.41,-1.11,8.48,23.65,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
85.34,-2.75,0.15,19.43,CENTER,MEDIUM,RED,NO,DRY,CLEAR,LEFT,STOP
42.86,1.54,7.87,20.93,RIGHT,HIGH,RED,NO,DRY,CLEAR,RIGHT,BRAKE
76.29,-1.27,-6.98,160.91,CENTER,MEDIUM,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
97.66,-1.45,-2.94,173.63,CENTER,LOW,NONE,YES,SLIPPERY,CLEAR,RIGHT,BRAKE
123.15,3.41,-3.07,73.94,LEFT,LOW,NONE,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
7.05,-2.64,17.82,17.15,CENTER,MEDIUM,RED,NO,DRY,CLEAR,STRAIGHT,BRAKE
119.64,-1.56,-0.45,109.49,CENTER,MEDIUM,RED,YES,DRY,CLEAR,LEFT,STOP
32.41,-2.05,4.12,112.24,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
4.76,4.33,-0.05,191.3,CENTER,LOW,GREEN,NO,DRY,CLEAR,LEFT,ACCELERATE
82.32,3.6,-9.5,128.01,CENTER,LOW,NONE,NO,SLIPPERY,RAIN,STRAIGHT,BRAKE
58.03,-1.06,-7.35,70.42,LEFT,HIGH,RED,NO,WET,CLEAR,STRAIGHT,STOP
113.64,4.71,-15.09,8.72,CENTER,LOW,GREEN,NO,WET,FOG,STRAIGHT,BRAKE
96.28,-1.23,-4.48,139.35,RIGHT,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
24.77,-2.41,-3.92,149.87,CENTER,MEDIUM,GREEN,YES,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
45.28,-0.25,-8.84,19.01,LEFT,MEDIUM,GREEN,NO,WET,FOG,STRAIGHT,MAINTAIN_SPEED
17.45,-0.93,7.29,62.0,RIGHT,MEDIUM,RED,NO,SLIPPERY,CLEAR,STRAIGHT,BRAKE
62.1,1.39,-18.04,121.67,CENTER,LOW,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
112.77,-2.24,11.24,65.84,CENTER,HIGH,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
119.8,4.2,-7.18,25.83,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,BRAKE
104.18,-0.98,-3.14,157.6,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,LEFT,MAINTAIN_SPEED
44.78,2.56,1.5,103.12,CENTER,LOW,RED,NO,DRY,CLEAR,RIGHT,CHANGE_LANE_RIGHT
101.26,2.51,13.25,169.66,LEFT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
73.57,0.42,-18.48,97.08,CENTER,MEDIUM,NONE,NO,DRY,CLEAR,LEFT,TURN_LEFT
107.54,0.06,7.01,144.2,CENTER,MEDIUM,NONE,NO,WET,RAIN,STRAIGHT,MAINTAIN_SPEED
29.75,0.61,20.14,66.38,RIGHT,LOW,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
47.84,-0.51,11.19,74.79,CENTER,MEDIUM,NONE,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
90.51,0.62,21.93,27.89,RIGHT,HIGH,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
49.38,3.25,5.69,198.5,RIGHT,LOW,YELLOW,NO,DRY,FOG,RIGHT,MAINTAIN_SPEED
13.49,-4.1,-15.97,75.91,RIGHT,MEDIUM,NONE,NO,DRY,CLEAR,STRAIGHT,ACCELERATE
137.31,3.38,-26.09,21.78,CENTER,HIGH,GREEN,NO,SLIPPERY,CLEAR,LEFT,BRAKE
64.1,-0.81,9.02,136.16,CENTER,HIGH,RED,NO,DRY,CLEAR,LEFT,STOP
102.38,-0.83,6.65,37.51,LEFT,LOW,GREEN,YES,DRY,RAIN,RIGHT,MAINTAIN_SPEED
0.1,-1.55,-7.01,76.4,CENTER,HIGH,GREEN,NO,DRY,FOG,STRAIGHT,CHANGE_LANE_LEFT
32.53,-0.59,4.41,2.37,CENTER,LOW,GREEN,NO,WET,RAIN,LEFT,MAINTAIN_SPEED
24.96,-0.28,15.8,17.43,RIGHT,LOW,RED,NO,DRY,RAIN,STRAIGHT,BRAKE
96.76,0.02,-16.82,48.26,CENTER,LOW,GREEN,NO,WET,CLEAR,STRAIGHT,MAINTAIN_SPEED
33.82,1.52,-2.18,144.41,CENTER,LOW,RED,NO,DRY,CLEAR,RIGHT,BRAKE
120.11,-0.83,18.55,12.47,CENTER,LOW,GREEN,NO,DRY,CLEAR,LEFT,TURN_LEFT
131.61,-2.89,-15.35,8.62,CENTER,MEDIUM,RED,NO,DRY,RAIN,STRAIGHT,STOP
69.02,-2.1,-9.03,23.37,CENTER,MEDIUM,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
54.85,-1.7,-1.87,191.97,CENTER,LOW,GREEN,NO,DRY,CLEAR,LEFT,MAINTAIN_SPEED
78.95,0.57,0.69,138.67,CENTER,HIGH,YELLOW,NO,SLIPPERY,CLEAR,RIGHT,BRAKE
120.24,5.04,0.22,100.42,RIGHT,HIGH,RED,NO,DRY,RAIN,STRAIGHT,STOP
77.82,-2.73,-11.36,99.23,LEFT,LOW,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
107.72,-1.79,8.01,142.59,CENTER,HIGH,NONE,NO,WET,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
89.31,3.17,-13.11,189.75,LEFT,HIGH,GREEN,YES,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
100.32,-2.48,-3.15,70.92,LEFT,LOW,YELLOW,NO,DRY,RAIN,LEFT,BRAKE
46.89,0.22,2.31,59.36,CENTER,HIGH,YELLOW,YES,SLIPPERY,CLEAR,STRAIGHT,CHANGE_LANE_RIGHT
60.61,2.99,-22.6,95.82,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,RIGHT,TURN_RIGHT
126.21,1.15,6.79,185.42,LEFT,MEDIUM,YELLOW,NO,SLIPPERY,RAIN,STRAIGHT,BRAKE
4.39,-0.64,-11.9,159.02,RIGHT,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,ACCELERATE
61.38,3.87,15.75,44.64,LEFT,HIGH,GREEN,NO,DRY,FOG,LEFT,TURN_LEFT
13.69,-2.2,14.65,23.99,CENTER,LOW,GREEN,NO,DRY,RAIN,STRAIGHT,MAINTAIN_SPEED
136.22,-4.14,5.03,50.66,CENTER,LOW,RED,YES,DRY,RAIN,STRAIGHT,STOP
118.79,3.48,6.71,15.47,RIGHT,MEDIUM,GREEN,NO,DRY,FOG,RIGHT,BRAKE
70.34,-1.67,5.86,29.35,CENTER,HIGH,NONE,YES,DRY,CLEAR,RIGHT,BRAKE
72.11,-2.57,13.28,52.36,LEFT,LOW,YELLOW,NO,DRY,RAIN,STRAIGHT,BRAKE
142.69,-3.17,1.24,2.01,CENTER,MEDIUM,YELLOW,YES,WET,CLEAR,LEFT,BRAKE
95.89,1.41,6.03,104.72,CENTER,HIGH,GREEN,NO,SLIPPERY,RAIN,STRAIGHT,BRAKE
20.69,-3.05,18.7,86.27,RIGHT,LOW,NONE,NO,DRY,FOG,STRAIGHT,ACCELERATE
130.37,-0.22,2.4,68.71,CENTER,LOW,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
26.61,0.7,21.56,19.29,RIGHT,HIGH,RED,NO,SLIPPERY,CLEAR,RIGHT,BRAKE
99.71,-1.57,8.35,168.7,RIGHT,HIGH,RED,NO,DRY,CLEAR,STRAIGHT,STOP
102.55,2.96,-20.18,161.95,CENTER,MEDIUM,GREEN,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
51.04,1.39,3.05,130.49,CENTER,MEDIUM,YELLOW,NO,DRY,CLEAR,STRAIGHT,MAINTAIN_SPEED
65.42,1.73,-0.01,152.38,CENTER,MEDIUM,NONE,NO,WET,RAIN,RIGHT,MAINTAIN_SPEED
